global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
4658.630671978259,4.235118792707509e-15,1.0,5.725654056859573,17.20227455862918,1.0,0.0,2550.0,2516465.0,0.001,0.9866756146789508,0.9318444228568084,0.01,1.000000006977777,0.0,4317.0
4659.976331587919,4.236342119625383e-15,1.0,5.727211645067548,17.207167866300676,1.0,0.0,2551.0,2517225.0,0.001,0.9866889390642719,0.9318593153939153,0.01,1.0000000069827584,0.0,4318.0
4661.322379895442,4.2375657999049485e-15,1.0,5.728769683189605,17.21206258741894,1.0,0.0,2551.0,2517986.0,0.001,0.9867022501252076,0.9318741997447174,0.01,1.0000000069877397,0.0,4319.0
4662.668817013105,4.2387898336482786e-15,1.0,5.730328171355702,17.21695872239226,1.0,0.0,2552.0,2518748.0,0.001,0.9867155478750824,0.9318890759145391,0.01,1.000000006992721,0.0,4320.0
4664.015643053215,4.24001422095747e-15,1.0,5.731887109695837,17.221856271629026,1.0,0.0,2553.0,2519509.0,0.001,0.9867288323272073,0.9319039439087005,0.01,1.0000000069977024,0.0,4321.0
4665.3628581281155,4.241238961934651e-15,1.0,5.733446498340042,17.226755235537752,1.0,0.0,2554.0,2520271.0,0.001,0.9867421034948801,0.9319188037325176,0.01,1.0000000070026838,0.0,4322.0
4666.710462350179,4.242464056681982e-15,1.0,5.73500633741839,17.231655614527075,1.0,0.0,2554.0,2521033.0,0.001,0.9867553613913852,0.931933655391302,0.01,1.0000000070076651,0.0,4323.0
4668.058455831812,4.243689505301649e-15,1.0,5.736566627060991,17.23655740900574,1.0,0.0,2555.0,2521795.0,0.001,0.9867686060299938,0.9319484988903615,0.01,1.0000000070126465,0.0,4324.0
4669.406838685454,4.2449153078958686e-15,1.0,5.738127367397992,17.24146061938262,1.0,0.0,2556.0,2522557.0,0.001,0.9867818374239639,0.9319633342349992,0.01,1.0000000070176278,0.0,4325.0
4670.755611023576,4.246141464566889e-15,1.0,5.739688558559575,17.246365246066702,1.0,0.0,2557.0,2523320.0,0.001,0.9867950555865399,0.9319781614305144,0.01,1.0000000070226092,0.0,4326.0
4672.104772958682,4.2473679754169846e-15,1.0,5.741250200675963,17.25127128946708,1.0,0.0,2557.0,2524082.0,0.001,0.9868082605309534,0.9319929804822019,0.01,1.0000000070275905,0.0,4327.0
4673.454324603307,4.248594840548462e-15,1.0,5.742812293877417,17.256178749992994,1.0,0.0,2558.0,2524845.0,0.001,0.9868214522704224,0.9320077913953526,0.01,1.0000000070325719,0.0,4328.0
4674.804266070021,4.249822060063657e-15,1.0,5.744374838294234,17.261087628053772,1.0,0.0,2559.0,2525608.0,0.001,0.9868346308181519,0.932022594175253,0.01,1.0000000070375532,0.0,4329.0
4676.154597471425,4.2510496340649336e-15,1.0,5.745937834056748,17.26599792405888,1.0,0.0,2560.0,2526371.0,0.001,0.9868477961873338,0.9320373888271857,0.01,1.0000000070425346,0.0,4330.0
4677.5053189201535,4.252277562654686e-15,1.0,5.747501281295332,17.270909638417887,1.0,0.0,2560.0,2527135.0,0.001,0.9868609483911465,0.9320521753564287,0.01,1.000000007047516,0.0,4331.0
