internal_EIIglc,internal_g6p_c,internal_pep_c,internal_pyr_c,internal_LacY,internal_lcts_p,external_glc__D_e,external_lcts_e,global_volume,global_width,global_length,global_surface_area,time
0.0018,29.21836713119536,-29.038367131195358,29.21836713119536,0.0,0.0,0.9644337362599154,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,546.0
0.0018,29.2713894559465,-29.091389455946498,29.2713894559465,0.0,0.0,0.964369194428492,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,547.0
0.0018,29.32440997433667,-29.144409974336668,29.32440997433667,0.0,0.0,0.9643046542576077,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,548.0
0.0018,29.37742868629364,-29.197428686293637,29.37742868629364,0.0,0.0,0.9642401174078015,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,549.0
0.0018,29.430445591791667,-29.250445591791664,29.430445591791667,0.0,0.0,0.9641755822185343,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,550.0
0.0018,29.483460690758527,-29.303460690758524,29.483460690758527,0.0,0.0,0.9641110486898061,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,551.0
0.0018,29.53647398312199,-29.356473983121987,29.53647398312199,0.0,0.0,0.9640465184821561,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,552.0
0.0018,29.589485468856317,-29.409485468856314,29.589485468856317,0.0,0.0,0.963981989935045,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,553.0
0.0018,29.642495147889285,-29.462495147889282,29.642495147889285,0.0,0.0,0.963917463048473,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,554.0
0.0018,29.695503020148664,-29.51550302014866,29.695503020148664,0.0,0.0,0.9638529394829791,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,555.0
0.0018,29.74850908560872,-29.568509085608717,29.74850908560872,0.0,0.0,0.9637884175780242,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,556.0
0.0018,29.80151334419723,-29.621513344197226,29.80151334419723,0.0,0.0,0.9637238973336084,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,557.0
0.0018,29.854515795841962,-29.67451579584196,29.854515795841962,0.0,0.0,0.9636593804102707,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,558.0
0.0018,29.907516440517192,-29.72751644051719,29.907516440517192,0.0,0.0,0.963594865147472,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,559.0
0.0018,29.960515278150694,-29.78051527815069,29.960515278150694,0.0,0.0,0.9635303515452123,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,560.0
0.0018,30.013512308670233,-29.83351230867023,30.013512308670233,0.0,0.0,0.9634658412640307,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,561.0
0.0018,30.066507532050096,-29.886507532050093,30.066507532050096,0.0,0.0,0.9634013326433881,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,562.0
0.0018,30.11950094821805,-29.939500948218047,30.11950094821805,0.0,0.0,0.9633368256832846,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,563.0
0.0018,30.17249255710186,-29.99249255710186,30.17249255710186,0.0,0.0,0.9632723220442592,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,564.0
0.0018,30.225482358675826,-30.045482358675823,30.225482358675826,0.0,0.0,0.9632078200657728,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,565.0
0.0018,30.278470352867707,-30.098470352867707,30.278470352867707,0.0,0.0,0.9631433197478254,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,566.0
0.0018,30.331456539605274,-30.151456539605274,30.331456539605274,0.0,0.0,0.9630788227509561,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,567.0
0.0018,30.384440918862825,-30.204440918862826,30.384440918862825,0.0,0.0,0.9630143274146259,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,568.0
0.0018,30.437423490568126,-30.257423490568126,30.437423490568126,0.0,0.0,0.9629498337388347,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,569.0
0.0018,30.49040425464894,-30.31040425464894,30.49040425464894,0.0,0.0,0.9628853417235825,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,570.0
0.0018,30.54338321103303,-30.36338321103303,30.54338321103303,0.0,0.0,0.9628208530294085,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,571.0
0.0018,30.596360359694707,-30.416360359694707,30.596360359694707,0.0,0.0,0.9627563659957734,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,572.0
